391,100
431,
403,
441,
495,
428,
440,
455,
407,
407,
470,
394,
410,
442,
416,
420,
431,
423,
450,
438,
439,
476,
401,
416,
480,
449,
435,
463,
401,
503,
345,
422,
465,
442,
422,
444,
439,
427,
503,
368,
383,
317,
379,
415,
308,
320,
352,
423,90
404,
430,
357,
400,
376,
356,
439,
354,
368,
427,
416,
416,
405,
447,
415,
408,
394,
426,
410,
447,
400,
405,
403,
431,
433,
425,
433,
430,
431,
429,
416,
424,
420,
423,
430,
422,
427,
428,
422,
426,
416,
430,
431,
425,
416,
424,
438,
448,80
487,
454,
503,
450,
503,
455,
455,
443,
450,
459,
447,
448,
450,
450,
454,
453,
459,
471,
438,
432,
450,
475,
479,
487,
462,
511,
438,
454,
448,
480,
479,
475,
466,
474,
436,
446,
460,
472,
449,
474,
480,
468,
471,
478,
495,
483,70
495,
470,
464,
482,
469,
482,
474,
466,
478,
490,
495,
495,
474,
464,
499,
486,
503,
488,
498,
496,
524,
515,
526,
506,
519,
527,
514,
518,
516,
517,
527,
527,
522,
524,
532,
551,
512,
512,
575,
555,
520,
555,
512,
550,
577,
576,60
574,
572,
574,
567,
576,
578,
578,
564,
562,
562,
567,
582,
578,
544,
580,
587,
580,
560,
575,
560,
599,
578,
590,
595,
602,
599,
592,
599,
596,
600,
598,
599,
598,
592,
576,
596,
608,
622,
655,
595,
630,
616,
663,
614,
617,
624,
618,50
621,
623,
612,
647,
642,
646,
608,
651,
642,
639,
648,
652,
665,
648,
658,
644,
666,
671,
703,
671,
656,
679,
735,
680,
694,
676,
686,
682,
688,
688,
690,
680,
709,
711,
717,
720,
718,
710,
711,
716,
711,
694,
747,
728,
716,
736,
732,40
767,
733,
767,
760,
774,
759,
764,
754,
787,
774,
791,
772,
762,
787,
791,
796,
782,
787,
808,
806,
803,
809,
804,
784,
832,
784,
827,
792,
849,
848,
843,
816,
849,
848,
850,
869,
859,
883,
871,
879,
887,
873,
907,
903,
907,
898,
900,30
927,
920,
918,
935,
904,
955,
944,
959,
948,
951,
971,
963,
975,
987,
968,
968,
1002,
992,
999,
1019,
1020,
1055,
1023,
1020,
1015,
1042,
1045,
1093,
1050,
1040,
1078,
1095,
1095,
1092,
1114,
1110,
1095,
1109,
1119,
1156,
1132,
1134,
1135,
1158,
1191,
1188,
1160,20
1175,
1215,
1212,
1214,
1212,
1230,
1277,
1271,
1270,
1252,
1303,
1303,
1294,
1279,
1286,
1375,
1344,
1359,
1354,
1359,
1410,
1368,
1395,
1364,
1386,
1466,
1465,
1495,
1464,
1482,
1531,
1532,
1511,
1535,
1597,
1647,
1592,
1639,
1574,
1671,
1656,
1639,
1659,
1739,
1775,
1753,
1758,20
1743,
1887,
1831,
1834,
1831,
1867,
1936,
1923,
1921,
1923,
1996,
2066,
2043,
1995,
2076,
2143,
2235,
2160,
2198,
2215,
2320,
2375,
2384,
2400,
2483,
2551,
2550,
2536,
2528,
2510,
2807,
2748,
2740,
2751,
2746,
2782,
2921,
2919,
2927,
2924,
2934,
2937,
2902,
2939,
2846,
2946,10
2926,
2916,
2929,
